branch	go_direction	native	name	term_selected_gene_count	rss_gene_count	example_rss_genes	rss_fraction_of_term_genes	generic_label_filtered
cKO/CRE	up	GO:0051179	localization	286	17	Ankrd1, Cckbr, Clca1, ENSMUSG00000038115, ENSMUSG00000051209, Gpr151, Grp, Il6	0.05944055944055944	True
WT/FF	up	GO:0008152	metabolic process	372	17	Adm2, Ankrd1, Ccn4, Cited2, Clca1, Dusp9, Ecel1, Grp	0.0456989247311828	True
WT/FF	up	GO:0010646	regulation of cell communication	171	16	Ankrd1, Cckbr, Ccn4, Cited2, Dusp9, Gpr151, Grp, Il6	0.0935672514619883	False
WT/FF	up	GO:0023051	regulation of signaling	173	16	Ankrd1, Cckbr, Ccn4, Cited2, Dusp9, Gpr151, Grp, Il6	0.09248554913294797	False
cKO/CRE	up	GO:0008152	metabolic process	477	16	Adm2, Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000051209, Ecel1	0.033542976939203356	True
WT/FF	up	GO:0048513	animal organ development	142	15	2210017I01Rik, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Hmx3, Il6	0.1056338028169014	False
cKO/CRE	up	GO:0065008	regulation of biological quality	183	15	Adm2, Cckbr, ENSMUSG00000030223, ENSMUSG00000051209, ENSMUSG00000061947, Grp, Il6, Kcnk16	0.08196721311475409	True
WT/FF	up	GO:0006810	transport	193	15	Ankrd1, Cckbr, Clca1, Gpr151, Grp, Il6, Kcnk16, Nkain1	0.07772020725388601	True
WT/FF	up	GO:0030154	cell differentiation	196	15	2210017I01Rik, Ankrd1, Ccn4, Cited2, Fgf3, Hmx3, Il6, Krt6a	0.07653061224489796	False
WT/FF	up	GO:0048869	cellular developmental process	196	15	2210017I01Rik, Ankrd1, Ccn4, Cited2, Fgf3, Hmx3, Il6, Krt6a	0.07653061224489796	False
WT/FF	up	GO:0051234	establishment of localization	199	15	Ankrd1, Cckbr, Clca1, Gpr151, Grp, Il6, Kcnk16, Nkain1	0.07537688442211055	True
cKO/CRE	up	GO:0010646	regulation of cell communication	199	15	Ankrd1, Cckbr, Dusp9, ENSMUSG00000030223, Gpr151, Grp, Il6, Plaur	0.07537688442211055	False
cKO/CRE	up	GO:0023051	regulation of signaling	201	15	Ankrd1, Cckbr, Dusp9, ENSMUSG00000030223, Gpr151, Grp, Il6, Plaur	0.07462686567164178	False
WT/FF	up	GO:0007275	multicellular organism development	204	15	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Hmx3, Il6	0.07352941176470588	False
WT/FF	up	GO:0051179	localization	220	15	Ankrd1, Cckbr, Clca1, Gpr151, Grp, Il6, Kcnk16, Nkain1	0.06818181818181818	True
WT/FF	up	GO:0043170	macromolecule metabolic process	314	15	Adm2, Ankrd1, Ccn4, Cited2, Clca1, Dusp9, Ecel1, Grp	0.04777070063694268	True
cKO/CRE	up	GO:0009605	response to external stimulus	138	14	Ankrd1, Bpifc, Cd207, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000076434, Grp, Il6	0.10144927536231885	False
cKO/CRE	up	GO:0048513	animal organ development	174	14	2210017I01Rik, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	0.08045977011494253	False
WT/FF	up	GO:0048731	system development	185	14	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Hmx3, Il6	0.07567567567567568	True
WT/FF	up	GO:0048519	negative regulation of biological process	241	14	Ankrd1, Ccn4, Cited2, Dusp9, Fgf3, Grp, Il6, Plaur	0.058091286307053944	True
WT/FF	up	GO:0009605	response to external stimulus	114	13	Ankrd1, Bpifc, Ccn4, Cd207, Cited2, Grp, Il6, Krt6a	0.11403508771929824	False
WT/FF	up	GO:0065008	regulation of biological quality	151	13	Adm2, Angptl2, Cckbr, Grp, Il6, Kcnk16, Plaur, Plppr4	0.08609271523178808	True
cKO/CRE	up	GO:0048731	system development	233	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	0.055793991416309016	True
cKO/CRE	up	GO:0030154	cell differentiation	242	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g	0.05371900826446281	False
cKO/CRE	up	GO:0048869	cellular developmental process	242	13	2210017I01Rik, Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, Fgf3, Il6, Krt6a, Lce1g	0.05371900826446281	False
cKO/CRE	up	GO:0007275	multicellular organism development	259	13	Adm2, Ankrd1, Cckbr, ENSMUSG00000030223, ENSMUSG00000061947, ENSMUSG00000067006, Fgf3, Il6	0.05019305019305019	False
WT/FF	up	GO:0048522	positive regulation of cellular process	266	13	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6	0.04887218045112782	True
WT/FF	up	GO:0048518	positive regulation of biological process	278	13	Adm2, Ankrd1, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6	0.046762589928057555	True
cKO/CRE	up	GO:0043170	macromolecule metabolic process	401	13	Adm2, Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Grp	0.032418952618453865	True
cKO/CRE	up	GO:0006952	defense response	112	12	Bpifc, Cckbr, Cd207, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a	0.10714285714285714	False
WT/FF	up	GO:0051239	regulation of multicellular organismal process	152	12	Adm2, Cckbr, Ccn4, Cited2, Fgf3, Grp, Il6, Plaur	0.07894736842105263	False
WT/FF	up	GO:0048583	regulation of response to stimulus	183	12	Ankrd1, Cckbr, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur	0.06557377049180328	False
WT/FF	up	GO:0010468	regulation of gene expression	190	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur	0.06315789473684211	False
WT/FF	up	GO:0010556	regulation of macromolecule biosynthetic process	194	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur	0.061855670103092786	False
WT/FF	up	GO:0009889	regulation of biosynthetic process	197	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur	0.06091370558375635	False
cKO/CRE	up	GO:0048583	regulation of response to stimulus	220	12	Ankrd1, Cckbr, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Grp, Il6, Plaur	0.05454545454545454	False
WT/FF	up	GO:0060255	regulation of macromolecule metabolic process	224	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur	0.05357142857142857	False
WT/FF	up	GO:0048523	negative regulation of cellular process	235	12	Ankrd1, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur, Satb2	0.05106382978723404	True
WT/FF	up	GO:0019222	regulation of metabolic process	237	12	Adm2, Ankrd1, Ccn4, Cited2, Grp, Hmx3, Il6, Plaur	0.05063291139240506	True
cKO/CRE	up	GO:0048519	negative regulation of biological process	300	12	Ankrd1, Dusp9, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr	0.04	True
WT/FF	up	GO:0044238	primary metabolic process	328	12	Ankrd1, Cited2, Clca1, Dusp9, Ecel1, Hmx3, Il6, Plaur	0.036585365853658534	True
WT/FF	up	GO:0006952	defense response	92	11	Bpifc, Cckbr, Ccn4, Cd207, Grp, Il6, Krt6a, Serpine1	0.11956521739130435	False
WT/FF	up	GO:0009888	tissue development	93	11	2210017I01Rik, Ankrd1, Ccn4, Cited2, Fgf3, Il6, Krt6a, Lce1g	0.11827956989247312	False
cKO/CRE	up	GO:0002376	immune system process	144	11	Bpifc, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b	0.0763888888888889	False
WT/FF	up	GO:0009966	regulation of signal transduction	148	11	Ankrd1, Ccn4, Cited2, Dusp9, Grp, Il6, Plaur, Serpine1	0.07432432432432433	False
cKO/CRE	up	GO:0051239	regulation of multicellular organismal process	176	11	Adm2, Cckbr, ENSMUSG00000030223, Fgf3, Grp, Il6, Plaur, Procr	0.0625	False
cKO/CRE	up	GO:0016043	cellular component organization	305	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4	0.036065573770491806	True
cKO/CRE	up	GO:0071840	cellular component organization or biogenesis	314	11	Ankrd1, ENSMUSG00000025279, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plaur, Plppr4	0.03503184713375796	True
cKO/CRE	up	GO:0044238	primary metabolic process	430	11	Ankrd1, Clca1, Dusp9, ENSMUSG00000025279, ENSMUSG00000030223, Ecel1, Il6, Plaur	0.02558139534883721	True
cKO/CRE	up	GO:0043207	response to external biotic stimulus	98	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1	0.10204081632653061	False
cKO/CRE	up	GO:0009607	response to biotic stimulus	101	10	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Grp, Il6, Krt6a, Serpine1	0.09900990099009901	False
WT/FF	up	GO:0048584	positive regulation of response to stimulus	109	10	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Serpine1	0.09174311926605505	False
cKO/CRE	up	GO:0009888	tissue development	113	10	2210017I01Rik, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Fgf3, Il6, Krt6a, Lce1g	0.08849557522123894	False
WT/FF	up	GO:0009653	anatomical structure morphogenesis	134	10	Adm2, Ankrd1, Cited2, Hmx3, Il6, Krt6a, Plppr4, Satb2	0.07462686567164178	False
WT/FF	up	GO:0042221	response to chemical	169	10	Ankrd1, Cited2, Clca1, Grp, Il6, Or8b53, Serpine1, Slamf1	0.05917159763313609	False
cKO/CRE	up	GO:0009966	regulation of signal transduction	173	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	0.057803468208092484	False
WT/FF	up	GO:0016043	cellular component organization	236	10	Ankrd1, Ccn4, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1	0.0423728813559322	True
WT/FF	up	GO:0071840	cellular component organization or biogenesis	243	10	Ankrd1, Ccn4, Il6, Krt6a, Plaur, Plppr4, Satb2, Serpine1	0.0411522633744856	True
cKO/CRE	up	GO:0048523	negative regulation of cellular process	293	10	Ankrd1, Dusp9, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	0.034129692832764506	True
cKO/CRE	up	GO:0019222	regulation of metabolic process	297	10	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000051209, Grp, Il6, Plaur, Serpine1	0.03367003367003367	True
cKO/CRE	up	GO:0048522	positive regulation of cellular process	323	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1	0.030959752321981424	True
cKO/CRE	up	GO:0048518	positive regulation of biological process	340	10	Adm2, Ankrd1, Cckbr, Fgf3, Grp, Il6, Plaur, Serpine1	0.029411764705882353	True
WT/FF	up	GO:0051241	negative regulation of multicellular organismal process	69	9	Ccn4, Cited2, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1	0.13043478260869565	False
cKO/CRE	up	GO:0007267	cell-cell signaling	69	9	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn	0.13043478260869565	False
WT/FF	up	GO:0043207	response to external biotic stimulus	81	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1	0.1111111111111111	False
WT/FF	up	GO:0009607	response to biotic stimulus	82	9	Ankrd1, Bpifc, Cd207, Grp, Il6, Krt6a, Serpine1, Slamf1	0.10975609756097561	False
WT/FF	up	GO:0010647	positive regulation of cell communication	87	9	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1	0.10344827586206896	False
WT/FF	up	GO:0023056	positive regulation of signaling	88	9	Ankrd1, Cckbr, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1	0.10227272727272728	False
WT/FF	up	GO:0051240	positive regulation of multicellular organismal process	92	9	Adm2, Cckbr, Ccn4, Cited2, Grp, Il6, Serpine1, Slamf1	0.09782608695652174	False
WT/FF	up	GO:0051049	regulation of transport	94	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	0.09574468085106383	False
cKO/CRE	up	GO:0051707	response to other organism	97	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1	0.09278350515463918	False
cKO/CRE	up	GO:0044419	biological process involved in interspecies interaction between organisms	106	9	Ankrd1, Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1	0.08490566037735849	False
cKO/CRE	up	GO:0051049	regulation of transport	109	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	0.08256880733944955	False
WT/FF	up	GO:0032879	regulation of localization	114	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	0.07894736842105263	False
WT/FF	up	GO:0002376	immune system process	119	9	Bpifc, Cited2, Grp, Il6, Krt6a, Sectm1b, Serpine1, Slamf1	0.07563025210084033	False
cKO/CRE	up	GO:0032879	regulation of localization	137	9	Ankrd1, Cckbr, Gpr151, Grp, Il6, Nkain1, Serpine1, Slamf1	0.06569343065693431	False
WT/FF	up	GO:0007166	cell surface receptor signaling pathway	139	9	Ccn4, Cited2, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1	0.06474820143884892	False
WT/FF	up	GO:0035556	intracellular signal transduction	150	9	Ankrd1, Cckbr, Cited2, Dusp9, Ecel1, Il6, Plaur, Slamf1	0.06	False
cKO/CRE	up	GO:0060255	regulation of macromolecule metabolic process	276	9	Adm2, Ankrd1, ENSMUSG00000030223, Grp, Il6, Plaur, Serpine1, Slamf1	0.03260869565217391	False
WT/FF	up	GO:0007267	cell-cell signaling	59	8	Cckbr, Gpr151, Grp, Il6, Plppr4, Rin1, Ucn, Vgf	0.13559322033898305	False
cKO/CRE	up	GO:0032940	secretion by cell	66	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	0.12121212121212122	False
cKO/CRE	up	GO:0140352	export from cell	67	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	0.11940298507462686	False
cKO/CRE	up	GO:0051241	negative regulation of multicellular organismal process	70	8	ENSMUSG00000030223, Fgf3, Il6, Plaur, Procr, Serpine1, Slamf1, Ucn	0.11428571428571428	False
cKO/CRE	up	GO:0046903	secretion	72	8	Ankrd1, Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	0.1111111111111111	False
cKO/CRE	up	GO:0060429	epithelium development	73	8	2210017I01Rik, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Lce1g, Plaur, Serpine1	0.1095890410958904	False
cKO/CRE	up	GO:0098542	defense response to other organism	74	8	Bpifc, Cd207, ENSMUSG00000076434, Il6, Krt6a, Serpine1, Slamf1, Vgf	0.10810810810810811	False
WT/FF	up	GO:0009967	positive regulation of signal transduction	76	8	Ankrd1, Ccn4, Cited2, Grp, Il6, Plaur, Slamf1, Ucn	0.10526315789473684	False
WT/FF	up	GO:0051707	response to other organism	80	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	0.1	False
WT/FF	up	GO:0044419	biological process involved in interspecies interaction between organisms	88	8	Ankrd1, Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	0.09090909090909091	False
cKO/CRE	up	GO:0006955	immune response	100	8	Bpifc, ENSMUSG00000025279, ENSMUSG00000076434, Grp, Il6, Krt6a, Sectm1b, Slamf1	0.08	False
cKO/CRE	up	GO:0010648	negative regulation of cell communication	106	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.07547169811320754	False
cKO/CRE	up	GO:0023057	negative regulation of signaling	106	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.07547169811320754	False
WT/FF	up	GO:0051128	regulation of cellular component organization	112	8	Ankrd1, Ccn4, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn	0.07142857142857142	False
cKO/CRE	up	GO:0048585	negative regulation of response to stimulus	115	8	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.06956521739130435	False
WT/FF	up	GO:0010557	positive regulation of macromolecule biosynthetic process	122	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.06557377049180328	False
WT/FF	up	GO:0009891	positive regulation of biosynthetic process	124	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.06451612903225806	False
cKO/CRE	up	GO:0048584	positive regulation of response to stimulus	128	8	Ankrd1, Cckbr, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	0.0625	False
WT/FF	up	GO:0048468	cell development	140	8	Ankrd1, Ccn4, Cited2, Il6, Plppr4, Satb2, Slamf1, Ucn	0.05714285714285714	False
cKO/CRE	up	GO:0051128	regulation of cellular component organization	144	8	Ankrd1, ENSMUSG00000030223, Il6, Plaur, Plppr4, Serpine1, Slamf1, Ucn	0.05555555555555555	False
WT/FF	up	GO:0010604	positive regulation of macromolecule metabolic process	152	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.05263157894736842	False
cKO/CRE	up	GO:0007166	cell surface receptor signaling pathway	161	8	ENSMUSG00000030223, Fgf3, Il6, Krt6a, Plaur, Serpine1, Slamf1, Tmem88b	0.049689440993788817	False
WT/FF	up	GO:0009893	positive regulation of metabolic process	163	8	Adm2, Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.049079754601226995	False
cKO/CRE	up	GO:0009653	anatomical structure morphogenesis	164	8	Adm2, Ankrd1, ENSMUSG00000030223, ENSMUSG00000067006, Il6, Krt6a, Plppr4, Serpine1	0.04878048780487805	False
cKO/CRE	up	GO:0035556	intracellular signal transduction	172	8	Ankrd1, Cckbr, Dusp9, Ecel1, Il6, Plaur, Slamf1, Ucn	0.046511627906976744	False
WT/FF	up	GO:0080090	regulation of primary metabolic process	200	8	Ankrd1, Cited2, Hmx3, Il6, Plaur, Satb2, Serpine1, Ucn	0.04	False
cKO/CRE	up	GO:0010468	regulation of gene expression	229	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	0.034934497816593885	False
cKO/CRE	up	GO:0010556	regulation of macromolecule biosynthetic process	232	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	0.034482758620689655	False
cKO/CRE	up	GO:0009889	regulation of biosynthetic process	238	8	Adm2, Ankrd1, Grp, Il6, Plaur, Serpine1, Slamf1, Ucn	0.03361344537815126	False
cKO/CRE	up	GO:0019538	protein metabolic process	247	8	Clca1, Dusp9, ENSMUSG00000030223, Ecel1, Il6, Plaur, Serpine1, Ucn	0.032388663967611336	False
WT/FF	up	GO:0009611	response to wounding	33	7	Angptl2, Ccn4, Il6, Krt6a, Plaur, Procr, Serpine1	0.21212121212121213	False
cKO/CRE	up	GO:0023061	signal release	42	7	Cckbr, ENSMUSG00000051209, Gpr151, Grp, Il6, Ucn, Vgf	0.16666666666666666	False
WT/FF	up	GO:0032940	secretion by cell	56	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	0.125	False
WT/FF	up	GO:0140352	export from cell	57	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	0.12280701754385964	False
WT/FF	up	GO:0098542	defense response to other organism	60	7	Bpifc, Cd207, Il6, Krt6a, Serpine1, Slamf1, Vgf	0.11666666666666667	False
WT/FF	up	GO:0046903	secretion	61	7	Ankrd1, Cckbr, Gpr151, Grp, Il6, Ucn, Vgf	0.11475409836065574	False
WT/FF	up	GO:0060429	epithelium development	62	7	2210017I01Rik, Cited2, Il6, Krt6a, Lce1g, Plaur, Serpine1	0.11290322580645161	False
WT/FF	up	GO:0080134	regulation of response to stress	69	7	Ankrd1, Cckbr, Ccn4, Grp, Plaur, Serpine1, Ucn	0.10144927536231885	False
cKO/CRE	up	GO:0080134	regulation of response to stress	84	7	Ankrd1, Cckbr, ENSMUSG00000025279, Grp, Plaur, Serpine1, Ucn	0.08333333333333333	False
WT/FF	up	GO:0042981	regulation of apoptotic process	89	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	0.07865168539325842	False
WT/FF	up	GO:0043067	regulation of programmed cell death	91	7	Ankrd1, Cited2, Grp, Il6, Plaur, Serpine1, Ucn	0.07692307692307693	False
WT/FF	up	GO:0010648	negative regulation of cell communication	94	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.07446808510638298	False
WT/FF	up	GO:0023057	negative regulation of signaling	94	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.07446808510638298	False
cKO/CRE	up	GO:0009968	negative regulation of signal transduction	96	7	Dusp9, ENSMUSG00000030223, Il6, Plaur, Serpine1, Slamf1, Tmem88b	0.07291666666666667	False
WT/FF	up	GO:0048585	negative regulation of response to stimulus	98	7	Dusp9, Il6, Plaur, Serpine1, Slamf1, Tmem88b, Ucn	0.07142857142857142	False
WT/FF	up	GO:0010558	negative regulation of macromolecule biosynthetic process	99	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.0707070707070707	False
WT/FF	up	GO:1902531	regulation of intracellular signal transduction	99	7	Ankrd1, Cited2, Dusp9, Il6, Plaur, Slamf1, Ucn	0.0707070707070707	False
cKO/CRE	up	GO:0051240	positive regulation of multicellular organismal process	100	7	Adm2, Cckbr, Grp, Il6, Serpine1, Slamf1, Ucn	0.07	False
cKO/CRE	up	GO:0010647	positive regulation of cell communication	101	7	Ankrd1, Cckbr, Grp, Il6, Plaur, Slamf1, Ucn	0.06930693069306931	False
WT/FF	up	GO:0009890	negative regulation of biosynthetic process	102	7	Ankrd1, Cited2, Il6, Satb2, Serpine1, Slamf1, Ucn	0.06862745098039216	False
