gene_id	SRR35329977	SRR35329978	SRR35329979	SRR35329980	SRR35329981	SRR35329982	SRR35329983	SRR35329984	SRR35329985	SRR35329986	SRR35329987	SRR35329988	SRR35329989	SRR35329990	SRR35329991	SRR35329992	SRR35329993	SRR35329994	SRR35329995	SRR35329996
ENSMUSG00000000001	5573.1590776484	5142.64638695045	4484.08106615895	4553.03576562883	4602.82441084018	4665.38106462508	5249.49182495061	5219.55423393749	4511.83199133132	5283.79081098678	5473.31094707001	4327.91677306536	4489.23771628526	4506.35809689252	5408.92113653077	5287.33136161252	5086.12098812723	5241.41847093874	4581.32781897439	4412.16078405414
ENSMUSG00000000028	158.146942448959	153.644771898498	179.012524231537	175.205426930527	151.731655971074	181.309552521736	124.324834808417	115.279898890813	179.644152794202	117.444479529266	153.275413986699	111.573002657009	181.235524654445	176.038373031134	145.127731238683	145.39274703294	161.903570956384	145.594957526076	168.50405219075	186.123492179457
ENSMUSG00000000031	2703.70445840624	2807.91387484066	939.633086374517	1667.90955768732	1210.28309115751	4341.8866524942	2396.98281510629	4231.11470483408	9324.22246906832	3402.25760285812	3055.77650741737	1413.6299436643	2201.84277157823	7492.28285728685	2031.78823734156	3814.78652733378	2543.47993336661	4903.46813157165	7078.1613923185	3961.32832521945
ENSMUSG00000000037	16.7270804513322	17.8138865969273	20.45857419789	34.5800184731304	25.8836354303598	13.3596512384437	18.8973748908794	14.8380067879264	28.789127050353	12.1076783019862	19.4635446332316	15.6202203719812	13.5082378624431	15.6976893148782	14.8305710754858	20.3904462302294	14.2609363018576	25.5056859899695	17.8416055260794	13.4422522129608
ENSMUSG00000000049	113.287953965841	133.604149476955	122.020781823129	88.7553807477013	99.0718459575839	116.419817935009	120.346440094548	138.107601641469	108.247117709327	128.341390001054	108.671457535543	99.2999723647376	115.945708319303	85.2160277093386	111.229283066144	109.044560274705	124.154033686761	133.90485144734	100.111231007446	100.299881896708
ENSMUSG00000000056	2937.88358472489	2847.99511968375	2748.02491279515	2832.10351294938	2699.93093713235	3303.65089910657	2892.29295698302	3063.47770913803	2916.91435274176	2565.61703219088	2904.93403650982	2957.8003004373	2831.10151867037	3066.6557340137	2508.48516476789	2577.1750952729	2950.33605727255	2807.75093272915	2644.52241908777	3073.10565976304
ENSMUSG00000000058	5148.89949165552	4697.29922202727	4830.41550079466	5060.20936990141	4642.09613356211	4665.38106462508	5233.57824609514	4830.3419020388	5924.80234696264	5184.50784891049	5208.93113246861	5070.99297076104	5497.85281001435	5386.54996204819	5161.03873426908	5310.38143126408	4772.38038948636	4795.06896611428	5577.48412751382	5079.10329769719
ENSMUSG00000000078	10852.0736037211	9971.32302263005	4292.64726473584	4151.90755134052	4313.64172534237	4330.43552286124	9868.40808775293	10235.9419133941	4152.54368574291	9947.66849291186	10727.6570170162	4132.6640184156	4396.93142422524	4810.22051148767	9826.31266401477	9376.94564248417	9266.2530817835	9114.03179374912	4746.85827024413	4501.08645253988
ENSMUSG00000000085	1484.90855097508	1454.05849347419	1553.39031231122	1569.93283868012	1457.51643647509	1426.61990010524	1400.39493928201	1433.5797327412	1305.87480300401	1394.80454038881	1355.14929508875	1497.30969565705	1534.31068387583	1491.28048491343	1338.98870281529	1419.35236585205	1361.49997752441	1474.01610283699	1503.65086572569	1523.11057766856
ENSMUSG00000000088	9893.30776512428	11295.1174703642	9950.17369381663	9542.93243130155	10417.7169911434	9928.12939176915	10772.4982864797	10170.8829605548	10787.8616883083	10930.8119710331	10662.7785349054	10112.9769608313	10345.0588296544	10617.2442944701	10582.6717888645	9975.36091228438	10670.5358682135	10032.236489388	10400.6648213973	9854.20489150127
