gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026628	14650.8125638744	5.68928163041582	0.092822978783656	61.2917372935846	0	0
ENSMUSG00000036390	7407.1258322948	3.37873003511734	0.072127495522444	46.8438562942474	0	0
ENSMUSG00000051379	5691.6137247449	3.43244005995117	0.0867778124955157	39.5543510632807	0	0
ENSMUSG00000063632	2497.65847078636	3.0510498914263	0.080400949744344	37.9479334650637	4.17359400993135e-315	2.23975922542966e-311
ENSMUSG00000052684	12732.0800475042	1.6765574895019	0.0445487346540645	37.6342336661392	5.92509514589729e-310	2.54376184803662e-306
ENSMUSG00000073680	829.441405581674	5.08308445413073	0.14105135039187	36.0371200985233	2.19469810489912e-284	7.85189825329407e-281
ENSMUSG00000019647	4767.59580221023	3.30299096878456	0.091674362132337	36.0296040458565	2.87795914404153e-284	8.82546728371365e-281
ENSMUSG00000001473	1906.16456694685	2.33856023248406	0.0730216256144141	32.0255843773279	4.80337830353625e-225	1.28886648329636e-221
ENSMUSG00000031574	608.571398802081	3.89863835175833	0.13012709436998	29.9602351887889	3.23698939286615e-197	7.72057936747386e-194
ENSMUSG00000042816	871.386730841559	4.10296832037442	0.137768981399614	29.7815101679043	6.78094037219707e-195	1.45559666029582e-191
ENSMUSG00000003752	1040.75557864385	1.69126177770772	0.0599107208168435	28.2297017069478	2.52677829247046e-175	4.93089298419735e-172
ENSMUSG00000004951	15797.5889209086	1.11299809262231	0.0402875751394885	27.6263361289121	5.37202433095561e-168	9.6096561906911e-165
ENSMUSG00000039328	1574.49890743604	1.85943629239013	0.067630186084004	27.4941767878696	2.06094106558292e-166	3.40308930106177e-163
ENSMUSG00000038059	1749.77928784434	2.86215550132	0.10807800763549	26.4823118406573	1.54959696338011e-154	2.37597488685125e-151
ENSMUSG00000028494	3835.80421163028	1.20499189313317	0.0456300504070082	26.4078580318223	1.11310621403626e-153	1.59292919936682e-150
ENSMUSG00000030898	448.701168850465	5.49531729321819	0.208394631293999	26.3697642261499	3.04604547553448e-153	4.08665076111395e-150
ENSMUSG00000050164	465.540162224075	2.3016987637016	0.087422114704917	26.3285642479675	9.0339375089635e-153	1.09331639375091e-149
ENSMUSG00000046223	1607.30022271194	2.75807170550098	0.104758092418735	26.3280061885485	9.16784453904615e-153	1.09331639375091e-149
ENSMUSG00000030102	2295.87096949066	1.79319857043231	0.0683865096521277	26.2215249696768	1.51035093997598e-151	1.70637859355392e-148
ENSMUSG00000022044	2658.90010350879	2.05615651012554	0.0787638118254049	26.1053453670247	3.1703503534212e-150	3.40273703432698e-147
ENSMUSG00000037428	16683.7522086158	1.75043076387156	0.068600086854389	25.5164511320086	1.29483637825341e-143	1.32356941407561e-140
ENSMUSG00000046731	1157.2547643915	1.58314741232903	0.0625655440444516	25.3038223595441	2.89933829090106e-141	2.82896344329465e-138
ENSMUSG00000056749	929.498103792387	1.92776649164058	0.0762268496558232	25.2898617789501	4.12964438082553e-141	3.85421505560003e-138
ENSMUSG00000025473	1048.38171593927	2.49920151170569	0.0994705037151249	25.1250513304245	2.64849379254562e-139	2.36885698961601e-136
ENSMUSG00000014599	3174.22723421352	2.20076236473037	0.0885440306039372	24.8550054669921	2.2829341645086e-136	1.96021859101366e-133
ENSMUSG00000022895	2049.89222855337	1.115272113037	0.0452986141856702	24.6204466314513	7.63081548223123e-134	6.30011865929137e-131
ENSMUSG00000019876	3057.61380875515	1.27026388604818	0.05170692373641	24.5666110891395	2.87426624554574e-133	2.28514811951425e-130
ENSMUSG00000033902	1460.65785989145	1.81878305346207	0.0740790923690125	24.5519079040833	4.12676362144736e-133	3.16375385349961e-130
ENSMUSG00000046688	3648.23954981493	1.75700496315873	0.0717191367370268	24.4984120430947	1.53583929047278e-132	1.13683883480306e-129
ENSMUSG00000015652	387.376097678084	2.51170009765881	0.1034193029626	24.286569583312	2.71808588178662e-130	1.94488105128105e-127
ENSMUSG00000031074	419.275608392955	7.34053327955246	0.304782825468713	24.0844715192326	3.63617565824537e-128	2.51787569935146e-125
ENSMUSG00000032515	732.838162314317	2.15549929108877	0.0898300158854667	23.9953123668266	3.11248007872046e-127	2.08789054280667e-124
ENSMUSG00000020427	3547.49401207581	3.01648451724021	0.125830172169007	23.972664626006	5.36311009069697e-127	3.48862185475458e-124
ENSMUSG00000023905	1035.38057915614	2.45326718152199	0.102539877098343	23.9250060653879	1.68254766584974e-126	1.06228141750384e-123
ENSMUSG00000024143	13685.106165604	1.4294961620391	0.0610294925547173	23.4230386359097	2.48954726749055e-121	1.52687490411292e-118
ENSMUSG00000117324	220.340043252387	5.08153551898473	0.218112948341507	23.2977251356411	4.67501276205798e-120	2.78760622084268e-117
ENSMUSG00000000078	7150.77758731966	1.19974749101104	0.0524973237491451	22.8534981467618	1.34890854292778e-115	7.82585696823992e-113
ENSMUSG00000037447	1684.07878809883	1.63705951326896	0.072139913342621	22.6928400300942	5.27212197846049e-114	2.97819395762192e-111
ENSMUSG00000027611	1010.27671808777	3.51041902217287	0.155045514905995	22.6412161893316	1.7028027967192e-113	9.37240123958315e-111
ENSMUSG00000032802	35809.8462137625	1.34785554604822	0.0596102371230366	22.6111421644948	3.36712713590251e-113	1.80696877748208e-110
ENSMUSG00000025612	1844.17118470893	0.948057292750674	0.0423399884698636	22.3915340323126	4.75924110419318e-111	2.49175291567344e-108
ENSMUSG00000044934	3112.84782387295	1.54903288269925	0.0694348203955785	22.30916525562	3.01061636521667e-110	1.53871168799383e-107
ENSMUSG00000021765	585.461361445122	2.59827682454213	0.117513796891434	22.1103980406876	2.51045686899853e-108	1.25324342209122e-105
ENSMUSG00000001054	2799.2354268083	0.8477967837941	0.0386097348663094	21.9581094438927	7.24512290356413e-107	3.53463200563426e-104
ENSMUSG00000109901	3862.49638991449	0.988443550606891	0.046078611266038	21.4512443723628	4.44598490540425e-102	2.12083359954239e-99
ENSMUSG00000058093	1484.70782679059	1.59390560196	0.0743300576577035	21.4436212238672	5.23754192889753e-102	2.44411032708075e-99
ENSMUSG00000087006	6980.27573345325	0.974932859556528	0.0454761441823695	21.4383360129836	5.8674364850444e-102	2.67979556570134e-99
ENSMUSG00000030256	4878.68276452917	1.05799532367242	0.049771152682051	21.2571995354644	2.82795925708188e-100	1.26468694609416e-97
ENSMUSG00000028226	1044.75889419369	1.7623794633233	0.0833241792856074	21.1508769535245	2.70859635919615e-99	1.18658631523479e-96
ENSMUSG00000027495	2349.86381932736	1.39473677957564	0.0659602003445307	21.1451264897696	3.05968534453628e-99	1.31358411211631e-96
ENSMUSG00000037705	1376.82144081684	1.43890527003797	0.0682327770333733	21.0881827268174	1.0210928054228e-98	4.29779963945214e-96
ENSMUSG00000048807	2303.51668566845	0.855379036315207	0.0406214349557188	21.0573318556484	1.95901902080337e-98	8.08698121164713e-96
